Designator,Mid X,Mid Y,Rotation,Layer
BUS1,160.41,-122.107,0.0,top
C1,130.2,-111.5475,90.0,top
C2,122.66,-110.66,180.0,top
C3,136.01,-72.42,270.0,top
C4,135.42,-97.8475,90.0,top
C5,176.37,-82.42,90.0,bottom
C6,180.1675,-92.33,180.0,bottom
C7,187.4875,-88.33,90.0,bottom
IC1,148.265,-78.15,90.0,top
IC2,145.22,-100.0,90.0,top
IC3,181.8375,-86.71,0.0,top
J1,122.7,-67.83,180.0,top
JT1,197.87,-67.34,0.0,top
LOGO_MSX,170.7625,-64.5225,0.0,top
R1,126.7225,-84.2575,180.0,top
U1,122.76,-95.59,90.0,top
X1,170.77,-105.89,180.0,top
