Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7, C8",0603,7,0.1uF,
C2,CP_Elec_5x4.5,1,100uF,
D1,LED_D3.0mm,1,LED,
IC1,PLCC-32_11.4x14.0mm_P1.27mm,1,M29F010,
IC2,SSOP-32_11.305x20.495mm_P1.27mm,1,HM628512,
IC3,VQFP-100_14x14mm_P0.5mm,1,XC95144XL_TQ100,
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,Conn_uSDcard,1,Micro_SD_Card_Det1,
JT1,PinHeader_2x05_P2.54mm_Vertical,1,JTAG1A,
Q1,SOT-23,1,BC858,
"R1, R2, R3, R6",0603,4,1K,
R10,0603,1,330,
"R4, R9",0603,2,4.7K,
"R5, R7, R8",0603,3,10K,
U1,XCVR_ESP8266-12E_ESP-12E,1,ESP8266-12E/ESP-12E,
U2,SOT-223-3_TabPin2,1,LM1117MP-3.3,
X1,Crystal_SMD_7050-4Pin_7.0x5.0mm,1,25 Mhz,
