Designator,Mid X,Mid Y,Rotation,Layer
BUS1,160.45,-122.157,0.0,top
C1,130.2,-111.0996,90.0,top
C2,122.7836,-110.998,270.0,top
C3,144.44,-71.27,270.0,top
C4,137.9474,-96.1104,270.0,top
C5,135.95,-75.0175,270.0,bottom
C6,180.1675,-92.33,180.0,bottom
C7,187.4875,-88.33,90.0,bottom
C8,177.5968,-82.4484,270.0,bottom
IC1,155.448,-75.6159,90.0,top
IC2,152.0952,-102.3112,90.0,top
IC3,181.8375,-86.71,0.0,top
J1,108.3206,-69.2962,90.0,top
J2,125.6,-65.4625,180.0,top
JT1,197.87,-67.34,0.0,top
LOGO_MSX,170.7625,-64.5225,0.0,top
R1,137.7188,-88.9527,90.0,bottom
R2,126.0856,-70.358,0.0,bottom
R3,130.0988,-70.358,0.0,bottom
R4,130.6068,-82.7024,180.0,top
R5,118.0592,-70.3072,0.0,bottom
R6,130.1985,-94.0816,180.0,bottom
R7,122.4261,-94.0816,180.0,bottom
R8,126.2888,-94.0816,180.0,bottom
U1,124.1844,-81.8064,270.0,bottom
U2,123.444,-97.7392,270.0,top
X1,170.0276,-98.8568,0.0,top
